,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__estimator__C,param_clf__estimator__class_weight,param_clf__estimator__solver,param_vect__ngram_range,param_clf__estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
30,212.79455466270446,4.365954941471618,67.52096910476685,6.555860460669456,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",10000.0,balanced,sag,"(1, 1)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 10000.0, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'sag', 'vect__ngram_range': (1, 1)}",0.4894969426417642,0.47775342045102337,0.49075494612038,0.49035643017907515,0.48514583730543476,0.48670151533953554,0.004900850000990256,21
36,1812.0900638103485,10.577873010992795,85.10130224227905,1.6938858663554912,MultiOutputClassifier(estimator=RandomForestClassifier()),,,,"(1, 1)",300,"{'clf': MultiOutputClassifier(estimator=RandomForestClassifier()), 'clf__estimator__n_estimators': 300, 'vect__ngram_range': (1, 1)}",0.47870221493338966,0.46375290049965395,0.4814683815031495,0.48366868882626585,0.47686479927654213,0.47689139700780026,0.006968218293894427,22
28,214.22120780944823,3.426924596753274,51.857954454422,2.687625269870305,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",10000.0,balanced,lbfgs,"(1, 1)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 10000.0, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 1)}",0.4807975389360871,0.46190915898697626,0.48236614947724366,0.48191694650922073,0.47617308815028225,0.476632576411962,0.007682909479879185,23
26,204.01947617530823,8.080396538622239,89.4994393825531,9.756199461364186,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",10000.0,,sag,"(1, 1)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 10000.0, 'clf__estimator__class_weight': None, 'clf__estimator__solver': 'sag', 'vect__ngram_range': (1, 1)}",0.47776281640791984,0.4670907750356961,0.4790373050446957,0.48027333682366,0.4744235539100053,0.47571755744439537,0.004734020574187799,24
34,1335.1491365909576,16.077651023996463,67.43757209777831,0.8690818163846502,MultiOutputClassifier(estimator=RandomForestClassifier()),,,,"(1, 1)",200,"{'clf': MultiOutputClassifier(estimator=RandomForestClassifier()), 'clf__estimator__n_estimators': 200, 'vect__ngram_range': (1, 1)}",0.47676910920514937,0.4630439923592795,0.4796692886576366,0.48119379681379904,0.4758178894492315,0.4752988152970191,0.00642594322829221,25
32,811.9451523780823,9.985220001192465,56.9120475769043,0.6613744613802927,MultiOutputClassifier(estimator=RandomForestClassifier()),,,,"(1, 1)",100,"{'clf': MultiOutputClassifier(estimator=RandomForestClassifier()), 'clf__estimator__n_estimators': 100, 'vect__ngram_range': (1, 1)}",0.4758152471487843,0.4620737931769234,0.4792514099086688,0.47854890223399815,0.47486482983200884,0.4741108364600767,0.006236759671419579,26
24,211.39063568115233,1.880768553277522,46.3998761177063,1.076912996609285,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",10000.0,,lbfgs,"(1, 1)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 10000.0, 'clf__estimator__class_weight': None, 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 1)}",0.47268473024626156,0.4570057440776023,0.4760958333391521,0.47181379488667113,0.4717617615218179,0.469872372814301,0.006626158157314132,27
35,3836.194823217392,156.71434374117675,73.63918137550354,7.360297366727045,MultiOutputClassifier(estimator=RandomForestClassifier()),,,,"(1, 2)",200,"{'clf': MultiOutputClassifier(estimator=RandomForestClassifier()), 'clf__estimator__n_estimators': 200, 'vect__ngram_range': (1, 2)}",0.45403034108287105,0.43792700982902333,0.45457627004411244,0.45966297397859246,0.4525821879162784,0.4517557565701756,0.007315331069839216,28
37,3889.579784679413,524.0326958171854,65.39350252151489,10.199121141858557,MultiOutputClassifier(estimator=RandomForestClassifier()),,,,"(1, 2)",300,"{'clf': MultiOutputClassifier(estimator=RandomForestClassifier()), 'clf__estimator__n_estimators': 300, 'vect__ngram_range': (1, 2)}",0.4528551866121273,0.43764374125016475,0.4566647364384169,0.45812325899109446,0.44957273224124983,0.45097193110661066,0.007303349596871154,29
33,2191.7245334148406,31.26792895036593,60.4557186126709,0.7620807713692727,MultiOutputClassifier(estimator=RandomForestClassifier()),,,,"(1, 2)",100,"{'clf': MultiOutputClassifier(estimator=RandomForestClassifier()), 'clf__estimator__n_estimators': 100, 'vect__ngram_range': (1, 2)}",0.44849614676441013,0.43418784143550443,0.4527113127007781,0.4565612950185444,0.445096267678948,0.447410572719637,0.007657789033132355,30
8,316.5598699569702,89.14433076241446,112.8400104522705,55.406060865487724,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.046415888336127774,,lbfgs,"(1, 1)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.046415888336127774, 'clf__estimator__class_weight': None, 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 1)}",0.3705202217708635,0.3591429022898187,0.37345323929852065,0.37352699483684865,0.38466332728566627,0.37226133709634357,0.008148088062623966,31
10,172.19364171028138,44.08851511591681,47.444420385360715,2.795867853233788,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.046415888336127774,,sag,"(1, 1)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.046415888336127774, 'clf__estimator__class_weight': None, 'clf__estimator__solver': 'sag', 'vect__ngram_range': (1, 1)}",0.3705202217708635,0.3591429022898187,0.3734191770326987,0.37352699483684865,0.38466332728566627,0.3722545246431792,0.008147102869025893,32
9,362.08016715049746,66.04649530446301,42.122792625427245,1.2691102562671568,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.046415888336127774,,lbfgs,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.046415888336127774, 'clf__estimator__class_weight': None, 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 2)}",0.34916451363593864,0.33539127813593067,0.35166061078975214,0.35196700668277686,0.35788670123328953,0.3492140220955376,0.007481320544704051,33
11,159.78071789741517,3.1085221920637722,43.44923634529114,2.1475002581396887,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.046415888336127774,,sag,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.046415888336127774, 'clf__estimator__class_weight': None, 'clf__estimator__solver': 'sag', 'vect__ngram_range': (1, 2)}",0.34916451363593864,0.33539127813593067,0.35161292361760144,0.35196700668277686,0.35788670123328953,0.34920448466110743,0.007478225229607341,34
1,158.254958486557,1.0918316659582996,45.62845864295959,1.443883278410732,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.0001,,lbfgs,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.0001, 'clf__estimator__class_weight': None, 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 2)}",0.3228717539768135,0.31001957913789124,0.32756620547855647,0.32518728594845775,0.331020279624379,0.3233330208332196,0.007182097130630985,35
3,595.615994977951,1.800232092765782,39.399885988235475,0.8448220980425943,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.0001,,sag,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.0001, 'clf__estimator__class_weight': None, 'clf__estimator__solver': 'sag', 'vect__ngram_range': (1, 2)}",0.3228717539768135,0.31001957913789124,0.32756620547855647,0.32518728594845775,0.331020279624379,0.3233330208332196,0.007182097130630985,35
2,189.83717021942138,14.57886840072118,128.31216778755189,74.65587264881692,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.0001,,sag,"(1, 1)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.0001, 'clf__estimator__class_weight': None, 'clf__estimator__solver': 'sag', 'vect__ngram_range': (1, 1)}",0.3228717539768135,0.31001957913789124,0.32756620547855647,0.32518728594845775,0.331020279624379,0.3233330208332196,0.007182097130630985,35
0,137.97927799224854,0.8067477712473929,61.185829162597656,1.1573636165409347,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.0001,,lbfgs,"(1, 1)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.0001, 'clf__estimator__class_weight': None, 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 1)}",0.3228717539768135,0.31001957913789124,0.32756620547855647,0.32518728594845775,0.331020279624379,0.3233330208332196,0.007182097130630985,35
